class,id,name,presync,sync,postsync,init,heartbeat,precommit,commit,finalize
node,54,6321,28000,20000,25000,0,0,0,0,0
switch,55,671-692,16000,37000,33000,0,0,0,0,0
transformer,56,633-634,40000,34000,32000,0,0,0,0,0
regulator,57,Reg1,28000,22000,31000,0,0,0,0,0
capacitor,58,CAP1,22000,32000,35000,0,0,0,0,0
capacitor,59,CAP2,15000,54000,23000,0,0,0,0,0
triplex_line_configuration,60,trip_line_config,0,0,0,0,0,0,0,0
triplex_line_conductor,61,,0,0,0,0,0,0,0,0
triplex_line_conductor,62,,0,0,0,0,0,0,0,0
triplex_line_conductor,63,,0,0,0,0,0,0,0,0
transformer,64,CTTF_B_645,31000,19000,35000,0,0,0,0,0
transformer_configuration,65,,0,0,0,0,0,0,0,0
triplex_meter,66,tn_B_645,30000,22000,35000,0,0,0,0,0
triplex_line,67,tl_B_1_645,18000,21000,30000,0,0,0,0,0
triplex_meter,68,tm_B_1_645,26000,21000,28000,0,0,0,0,0
house,69,house1B_tm_B_1_645,24000,38000,31000,0,0,0,1000,0
controller,70,,28000,29000,103000,0,0,0,0,0
triplex_line,71,tl_B_2_645,24000,27000,13000,0,0,0,0,0
triplex_meter,72,tm_B_2_645,19000,31000,20000,0,0,0,0,0
recorder,73,,0,0,48000,0,0,0,0,0
house,74,house2B_tm_B_2_645,33000,45000,17000,0,0,0,0,0
controller,75,,25000,29000,94000,0,0,0,0,0
waterheater,76,,21000,28000,21000,0,0,0,0,0
passive_controller,77,,15000,21000,26000,0,0,0,0,0
triplex_line,78,tl_B_3_645,19000,27000,24000,0,0,0,0,0
triplex_meter,79,tm_B_3_645,38000,41000,18000,0,0,0,0,0
house,80,house3B_tm_B_3_645,23000,45000,22000,0,0,0,0,0
controller,81,,29000,31000,89000,0,0,0,0,0
transformer,82,CTTF_B_646,28000,19000,39000,0,0,0,0,0
transformer_configuration,83,,0,0,0,0,0,0,0,0
triplex_meter,84,tn_B_646,26000,24000,34000,0,0,0,0,0
triplex_line,85,tl_B_1_646,19000,19000,31000,0,0,0,0,0
triplex_meter,86,tm_B_1_646,23000,30000,27000,0,0,0,0,0
house,87,house1B_tm_B_1_646,34000,54000,29000,0,0,0,0,0
controller,88,,22000,28000,96000,0,0,0,0,0
waterheater,89,,30000,33000,18000,0,0,0,1000,0
passive_controller,90,,26000,31000,20000,0,0,0,0,0
triplex_line,91,tl_B_2_646,19000,28000,27000,0,0,0,0,0
triplex_meter,92,tm_B_2_646,39000,20000,32000,0,0,0,0,0
house,93,house2B_tm_B_2_646,27000,28000,25000,0,0,0,1000,0
controller,94,,27000,26000,78000,0,0,0,0,0
waterheater,95,,32000,30000,31000,0,0,0,0,0
passive_controller,96,,20000,29000,24000,0,0,0,0,0
transformer,97,CTTF_A_652,20000,20000,26000,0,0,0,0,0
transformer_configuration,98,,0,0,0,0,0,0,0,0
triplex_meter,99,tn_A_652,37000,27000,32000,0,0,0,0,0
triplex_line,100,tl_A_1_652,26000,29000,23000,0,0,0,0,0
triplex_meter,101,tm_A_1_652,26000,41000,29000,0,0,0,0,0
house,102,house1A_tm_A_1_652,15000,49000,14000,0,0,0,0,0
controller,103,,22000,31000,76000,0,0,0,0,0
waterheater,104,,15000,21000,29000,0,0,0,0,0
passive_controller,105,,28000,35000,19000,0,0,0,0,0
triplex_line,106,tl_A_2_652,18000,29000,27000,0,0,0,0,0
triplex_meter,107,tm_A_2_652,35000,31000,28000,0,0,0,0,0
house,108,house2A_tm_A_2_652,35000,39000,22000,0,0,0,0,0
controller,109,,23000,37000,89000,0,0,0,0,0
waterheater,110,,24000,24000,18000,0,0,0,0,0
passive_controller,111,,22000,27000,26000,0,0,0,0,0
triplex_line,112,tl_A_3_652,22000,27000,22000,0,0,0,0,0
triplex_meter,113,tm_A_3_652,25000,40000,27000,0,0,0,0,0
house,114,house3A_tm_A_3_652,17000,47000,25000,0,0,0,0,0
controller,115,,34000,30000,77000,0,0,0,0,0
triplex_line,116,tl_A_4_652,19000,14000,17000,0,0,0,0,0
triplex_meter,117,tm_A_4_652,25000,24000,30000,0,0,0,0,0
house,118,house4A_tm_A_4_652,28000,43000,28000,0,0,0,0,0
controller,119,,26000,25000,74000,0,0,0,0,0
triplex_line,120,tl_A_5_652,27000,23000,27000,0,0,0,0,0
triplex_meter,121,tm_A_5_652,24000,25000,29000,0,0,0,0,0
house,122,house5A_tm_A_5_652,17000,39000,17000,0,0,0,0,0
controller,123,,26000,30000,87000,0,0,0,0,0
waterheater,124,,26000,29000,27000,0,0,0,0,0
passive_controller,125,,21000,21000,18000,0,0,0,0,0
transformer,126,CTTF_A_671,19000,35000,36000,0,0,0,0,0
transformer_configuration,127,,0,0,0,0,0,0,0,0
triplex_meter,128,tn_A_671,20000,27000,23000,0,0,0,0,0
triplex_line,129,tl_A_1_671,25000,22000,27000,0,0,0,0,0
triplex_meter,130,tm_A_1_671,28000,25000,29000,0,0,0,0,0
house,131,house1A_tm_A_1_671,21000,45000,27000,0,0,0,0,0
controller,132,,19000,34000,96000,0,0,0,0,0
waterheater,133,,22000,43000,26000,0,0,0,0,0
passive_controller,134,,26000,22000,23000,0,0,0,0,0
triplex_line,135,tl_A_2_671,18000,23000,25000,0,0,0,0,0
triplex_meter,136,tm_A_2_671,20000,21000,26000,0,0,0,0,0
house,137,house2A_tm_A_2_671,28000,28000,17000,0,0,0,1000,0
controller,138,,28000,45000,74000,0,0,0,0,0
waterheater,139,,21000,20000,32000,0,0,0,0,0
passive_controller,140,,26000,20000,28000,0,0,0,0,0
triplex_line,141,tl_A_3_671,21000,24000,31000,0,0,0,0,0
triplex_meter,142,tm_A_3_671,19000,23000,31000,0,0,0,0,0
house,143,house3A_tm_A_3_671,21000,45000,20000,0,0,0,1000,0
controller,144,,36000,29000,77000,0,0,0,0,0
triplex_line,145,tl_A_4_671,27000,22000,29000,0,0,0,0,0
triplex_meter,146,tm_A_4_671,22000,25000,19000,0,0,0,0,0
house,147,house4A_tm_A_4_671,31000,35000,27000,0,0,0,0,0
controller,148,,27000,34000,86000,0,0,0,0,0
waterheater,149,,26000,32000,18000,0,0,0,0,0
passive_controller,150,,19000,24000,30000,0,0,0,0,0
triplex_line,151,tl_A_5_671,27000,20000,31000,0,0,0,0,0
triplex_meter,152,tm_A_5_671,25000,31000,26000,0,0,0,0,0
house,153,house5A_tm_A_5_671,33000,45000,27000,0,0,0,0,0
controller,154,,21000,39000,85000,0,0,0,0,0
waterheater,155,,18000,31000,21000,0,0,0,0,0
passive_controller,156,,25000,22000,20000,0,0,0,0,0
triplex_line,157,tl_A_6_671,20000,23000,32000,0,0,0,0,0
triplex_meter,158,tm_A_6_671,24000,29000,23000,0,0,0,0,0
house,159,house6A_tm_A_6_671,24000,33000,19000,0,0,0,0,0
controller,160,,22000,38000,72000,0,0,0,0,0
waterheater,161,,24000,25000,27000,0,0,0,0,0
passive_controller,162,,24000,20000,24000,0,0,0,0,0
triplex_line,163,tl_A_7_671,20000,14000,25000,0,0,0,0,0
triplex_meter,164,tm_A_7_671,19000,31000,26000,0,0,0,0,0
house,165,house7A_tm_A_7_671,21000,35000,36000,0,0,0,0,0
controller,166,,24000,36000,82000,0,0,0,0,0
waterheater,167,,28000,32000,29000,0,0,0,1000,0
passive_controller,168,,33000,19000,21000,0,0,0,0,0
transformer,169,CTTF_B_671,27000,25000,37000,0,0,0,0,0
transformer_configuration,170,,0,0,0,0,0,0,0,0
triplex_meter,171,tn_B_671,20000,22000,32000,0,0,0,0,0
triplex_line,172,tl_B_1_671,25000,21000,21000,0,0,0,0,0
triplex_meter,173,tm_B_1_671,22000,21000,25000,0,0,0,0,0
house,174,house1B_tm_B_1_671,39000,57000,21000,0,0,0,0,0
controller,175,,27000,26000,94000,0,0,0,0,0
waterheater,176,,19000,22000,20000,0,0,0,0,0
passive_controller,177,,24000,31000,30000,0,0,0,0,0
triplex_line,178,tl_B_2_671,21000,20000,22000,0,0,0,0,0
triplex_meter,179,tm_B_2_671,19000,25000,32000,0,0,0,0,0
house,180,house2B_tm_B_2_671,27000,35000,26000,0,0,0,0,0
controller,181,,34000,31000,100000,1000,0,0,0,0
waterheater,182,,22000,33000,27000,0,0,0,0,0
passive_controller,183,,19000,23000,24000,0,0,0,0,0
triplex_line,184,tl_B_3_671,22000,29000,23000,0,0,0,0,0
triplex_meter,185,tm_B_3_671,19000,34000,31000,0,0,0,0,0
house,186,house3B_tm_B_3_671,26000,42000,24000,1000,0,0,1000,0
controller,187,,24000,34000,92000,0,0,0,0,0
waterheater,188,,35000,30000,26000,0,0,0,0,0
passive_controller,189,,23000,25000,25000,0,0,0,0,0
triplex_line,190,tl_B_4_671,21000,24000,25000,0,0,0,0,0
triplex_meter,191,tm_B_4_671,27000,26000,28000,0,0,0,0,0
house,192,house4B_tm_B_4_671,25000,43000,17000,0,0,0,0,0
controller,193,,20000,21000,99000,0,0,0,0,0
triplex_line,194,tl_B_5_671,31000,21000,25000,0,0,0,0,0
triplex_meter,195,tm_B_5_671,36000,34000,27000,0,0,0,0,0
house,196,house5B_tm_B_5_671,25000,42000,25000,0,0,0,0,0
controller,197,,25000,33000,87000,0,0,0,0,0
waterheater,198,,31000,25000,23000,0,0,0,0,0
passive_controller,199,,33000,29000,19000,0,0,0,0,0
triplex_line,200,tl_B_6_671,26000,34000,23000,0,0,0,0,0
triplex_meter,201,tm_B_6_671,29000,23000,17000,0,0,0,0,0
house,202,house6B_tm_B_6_671,28000,36000,30000,0,0,0,0,0
controller,203,,23000,31000,101000,0,0,0,0,0
waterheater,204,,26000,36000,28000,0,0,0,0,0
passive_controller,205,,30000,20000,30000,0,0,0,0,0
transformer,206,CTTF_C_671,19000,32000,19000,0,0,0,0,0
transformer_configuration,207,,0,0,0,0,0,0,0,0
triplex_meter,208,tn_C_671,23000,29000,20000,0,0,0,0,0
triplex_line,209,tl_C_1_671,28000,24000,27000,0,0,0,0,0
triplex_meter,210,tm_C_1_671,31000,34000,25000,0,0,0,0,0
house,211,house1C_tm_C_1_671,25000,28000,20000,0,0,0,0,0
controller,212,,30000,52000,77000,0,0,0,0,0
triplex_line,213,tl_C_2_671,20000,25000,38000,0,0,0,0,0
triplex_meter,214,tm_C_2_671,21000,37000,25000,0,0,0,0,0
house,215,house2C_tm_C_2_671,27000,41000,31000,0,0,0,0,0
controller,216,,35000,22000,89000,0,0,0,0,0
triplex_line,217,tl_C_3_671,29000,31000,18000,0,0,0,0,0
triplex_meter,218,tm_C_3_671,22000,20000,31000,0,0,0,0,0
house,219,house3C_tm_C_3_671,34000,38000,24000,0,0,0,0,0
controller,220,,22000,39000,74000,0,0,0,0,0
waterheater,221,,30000,30000,20000,0,0,0,0,0
passive_controller,222,,20000,23000,25000,0,0,0,0,0
triplex_line,223,tl_C_4_671,26000,24000,20000,0,0,0,0,0
triplex_meter,224,tm_C_4_671,27000,23000,27000,0,0,0,0,0
house,225,house4C_tm_C_4_671,27000,36000,24000,0,0,0,0,0
controller,226,,24000,38000,82000,0,0,0,0,0
triplex_line,227,tl_C_5_671,35000,32000,22000,0,0,0,0,0
triplex_meter,228,tm_C_5_671,27000,31000,32000,0,0,0,0,0
house,229,house5C_tm_C_5_671,25000,41000,28000,0,0,0,0,0
controller,230,,20000,34000,90000,0,0,0,0,0
triplex_line,231,tl_C_6_671,24000,19000,24000,0,0,0,0,0
triplex_meter,232,tm_C_6_671,18000,31000,43000,0,0,0,0,0
house,233,house6C_tm_C_6_671,28000,37000,32000,0,0,0,0,0
controller,234,,26000,32000,107000,0,0,0,0,0
waterheater,235,,25000,29000,17000,0,0,0,1000,0
passive_controller,236,,24000,31000,23000,0,0,0,0,0
triplex_line,237,tl_C_7_671,39000,30000,24000,0,0,0,0,0
triplex_meter,238,tm_C_7_671,29000,39000,28000,0,0,0,0,0
house,239,house7C_tm_C_7_671,29000,51000,17000,0,0,0,0,0
controller,240,,30000,39000,95000,0,0,0,0,0
waterheater,241,,19000,28000,17000,0,0,0,0,0
passive_controller,242,,25000,24000,29000,0,0,0,0,0
transformer,243,CTTF_A_675,25000,30000,22000,0,0,0,0,0
transformer_configuration,244,,0,0,0,0,0,0,0,0
triplex_meter,245,tn_A_675,26000,16000,17000,0,0,0,0,0
triplex_line,246,tl_A_1_675,21000,26000,30000,0,0,0,0,0
triplex_meter,247,tm_A_1_675,39000,26000,30000,0,0,0,0,0
house,248,house1A_tm_A_1_675,22000,38000,18000,0,0,0,0,0
controller,249,,30000,39000,100000,0,0,0,0,0
waterheater,250,,24000,36000,22000,0,0,0,1000,0
passive_controller,251,,21000,16000,24000,0,0,0,0,0
triplex_line,252,tl_A_2_675,25000,27000,26000,0,0,0,0,0
triplex_meter,253,tm_A_2_675,32000,26000,23000,0,0,0,0,0
house,254,house2A_tm_A_2_675,30000,23000,22000,0,0,0,0,0
controller,255,,28000,30000,104000,0,0,0,0,0
waterheater,256,,29000,27000,23000,0,0,0,0,0
passive_controller,257,,17000,20000,28000,0,0,0,0,0
triplex_line,258,tl_A_3_675,30000,22000,37000,0,0,0,0,0
triplex_meter,259,tm_A_3_675,29000,31000,25000,0,0,0,0,0
house,260,house3A_tm_A_3_675,22000,31000,23000,0,0,0,0,0
controller,261,,26000,23000,100000,0,0,0,0,0
triplex_line,262,tl_A_4_675,26000,28000,35000,0,0,0,0,0
triplex_meter,263,tm_A_4_675,33000,27000,32000,0,0,0,0,0
house,264,house4A_tm_A_4_675,22000,39000,23000,0,0,0,0,0
controller,265,,24000,41000,95000,0,0,0,0,0
waterheater,266,,18000,32000,22000,0,0,0,0,0
passive_controller,267,,34000,22000,18000,0,0,0,0,0
triplex_line,268,tl_A_5_675,18000,25000,27000,0,0,0,0,0
triplex_meter,269,tm_A_5_675,30000,28000,39000,0,0,0,0,0
house,270,house5A_tm_A_5_675,24000,27000,24000,0,0,0,0,0
controller,271,,20000,33000,81000,0,0,0,0,0
triplex_line,272,tl_A_6_675,22000,31000,27000,0,0,0,0,0
triplex_meter,273,tm_A_6_675,20000,19000,27000,0,0,0,0,0
house,274,house6A_tm_A_6_675,24000,33000,32000,0,0,0,0,0
controller,275,,22000,32000,76000,0,0,0,0,0
triplex_line,276,tl_A_7_675,19000,23000,29000,0,0,0,0,0
triplex_meter,277,tm_A_7_675,21000,19000,24000,0,0,0,0,0
house,278,house7A_tm_A_7_675,24000,32000,29000,0,0,0,2000,0
controller,279,,21000,35000,121000,0,0,0,0,0
waterheater,280,,27000,21000,25000,0,0,0,0,0
passive_controller,281,,34000,19000,24000,0,0,0,0,0
triplex_line,282,tl_A_8_675,25000,15000,26000,0,0,0,0,0
triplex_meter,283,tm_A_8_675,25000,35000,31000,0,0,0,0,0
house,284,house8A_tm_A_8_675,29000,43000,32000,0,0,0,0,0
controller,285,,20000,37000,89000,0,0,0,0,0
transformer,286,CTTF_B_675,32000,25000,24000,0,0,0,0,0
transformer_configuration,287,,0,0,0,0,0,0,0,0
triplex_meter,288,tn_B_675,25000,25000,34000,0,0,0,0,0
triplex_line,289,tl_B_1_675,35000,22000,24000,0,0,0,0,0
triplex_meter,290,tm_B_1_675,17000,32000,26000,0,0,0,0,0
house,291,house1B_tm_B_1_675,29000,39000,22000,0,0,0,0,0
controller,292,,27000,27000,88000,0,0,0,0,0
waterheater,293,,34000,20000,22000,0,0,0,0,0
passive_controller,294,,32000,22000,22000,0,0,0,0,0
triplex_line,295,tl_B_2_675,17000,28000,29000,0,0,0,0,0
triplex_meter,296,tm_B_2_675,36000,25000,18000,0,0,0,0,0
house,297,house2B_tm_B_2_675,27000,36000,25000,0,0,0,1000,0
controller,298,,34000,34000,95000,0,0,0,0,0
waterheater,299,,28000,31000,17000,0,0,0,0,0
passive_controller,300,,22000,30000,21000,0,0,0,0,0
triplex_line,301,tl_B_3_675,29000,25000,22000,0,0,0,0,0
triplex_meter,302,tm_B_3_675,24000,25000,23000,0,0,0,0,0
house,303,house3B_tm_B_3_675,31000,30000,22000,0,0,0,0,0
controller,304,,26000,30000,90000,0,0,0,0,0
triplex_line,305,tl_B_4_675,18000,34000,30000,0,0,0,0,0
triplex_meter,306,tm_B_4_675,28000,33000,31000,0,0,0,0,0
house,307,house4B_tm_B_4_675,37000,33000,17000,0,0,0,0,0
controller,308,,15000,42000,105000,0,0,0,0,0
triplex_line,309,tl_B_5_675,37000,26000,31000,0,0,0,0,0
triplex_meter,310,tm_B_5_675,17000,24000,26000,0,0,0,0,0
house,311,house5B_tm_B_5_675,23000,47000,24000,0,0,0,0,0
controller,312,,24000,30000,108000,0,0,0,0,0
waterheater,313,,17000,30000,23000,0,0,0,0,0
passive_controller,314,,29000,32000,13000,0,0,0,0,0
triplex_line,315,tl_B_6_675,20000,28000,36000,0,0,0,0,0
triplex_meter,316,tm_B_6_675,24000,25000,25000,0,0,0,0,0
house,317,house6B_tm_B_6_675,25000,43000,22000,0,0,0,0,0
controller,318,,32000,35000,107000,0,0,0,0,0
waterheater,319,,28000,31000,30000,0,0,0,0,0
passive_controller,320,,15000,25000,29000,0,0,0,0,0
triplex_line,321,tl_B_7_675,15000,32000,30000,0,0,0,0,0
triplex_meter,322,tm_B_7_675,23000,22000,33000,0,0,0,0,0
house,323,house7B_tm_B_7_675,23000,43000,23000,0,0,0,0,0
controller,324,,24000,24000,77000,0,0,0,0,0
waterheater,325,,40000,30000,26000,0,0,0,0,0
passive_controller,326,,27000,26000,31000,0,0,0,0,0
triplex_line,327,tl_B_8_675,22000,19000,27000,0,0,0,0,0
triplex_meter,328,tm_B_8_675,31000,27000,32000,0,0,0,0,0
house,329,house8B_tm_B_8_675,31000,37000,25000,0,0,0,0,0
controller,330,,29000,33000,99000,0,0,0,0,0
waterheater,331,,25000,33000,26000,0,0,0,0,0
passive_controller,332,,32000,21000,22000,0,0,0,0,0
triplex_line,333,tl_B_9_675,15000,31000,26000,0,0,0,0,0
triplex_meter,334,tm_B_9_675,20000,21000,24000,0,0,0,0,0
house,335,house9B_tm_B_9_675,26000,34000,25000,0,0,0,0,0
controller,336,,38000,26000,85000,0,0,0,0,0
triplex_line,337,tl_B_10_675,19000,23000,35000,0,0,0,0,0
triplex_meter,338,tm_B_10_675,28000,19000,31000,0,0,0,0,0
house,339,house10B_tm_B_10_675,27000,28000,15000,0,0,0,0,0
controller,340,,22000,28000,80000,0,0,0,0,0
waterheater,341,,17000,25000,18000,0,0,0,0,0
passive_controller,342,,27000,26000,34000,0,0,0,0,0
triplex_line,343,tl_B_11_675,20000,28000,27000,0,0,0,0,0
triplex_meter,344,tm_B_11_675,29000,28000,25000,0,0,0,0,0
house,345,house11B_tm_B_11_675,29000,36000,19000,0,0,0,0,0
controller,346,,32000,36000,94000,0,0,0,0,0
waterheater,347,,24000,28000,27000,0,0,0,0,0
passive_controller,348,,16000,23000,30000,0,0,0,0,0
triplex_line,349,tl_B_12_675,28000,36000,28000,0,0,0,0,0
triplex_meter,350,tm_B_12_675,32000,27000,22000,0,0,0,0,0
house,351,house12B_tm_B_12_675,25000,44000,29000,0,0,0,0,0
controller,352,,18000,27000,89000,0,0,0,0,0
transformer,353,CTTF_C_675,31000,30000,20000,0,0,0,0,0
transformer_configuration,354,,0,0,0,0,0,0,0,0
triplex_meter,355,tn_C_675,22000,24000,35000,0,0,0,0,0
triplex_line,356,tl_C_1_675,19000,27000,30000,0,0,0,0,0
triplex_meter,357,tm_C_1_675,22000,28000,31000,0,0,0,0,0
house,358,house1C_tm_C_1_675,23000,55000,20000,0,0,0,0,0
controller,359,,30000,28000,107000,0,0,0,0,0
waterheater,360,,27000,28000,28000,0,0,0,0,0
passive_controller,361,,25000,20000,33000,0,0,0,0,0
triplex_line,362,tl_C_2_675,25000,11000,33000,0,0,0,0,0
triplex_meter,363,tm_C_2_675,21000,31000,30000,0,0,0,0,0
house,364,house2C_tm_C_2_675,30000,37000,27000,0,0,0,0,0
controller,365,,30000,35000,87000,0,0,0,0,0
waterheater,366,,24000,21000,31000,0,0,0,0,0
passive_controller,367,,18000,19000,25000,0,0,0,0,0
triplex_line,368,tl_C_3_675,30000,24000,12000,0,0,0,0,0
triplex_meter,369,tm_C_3_675,24000,28000,21000,0,0,0,0,0
house,370,house3C_tm_C_3_675,22000,41000,27000,0,0,0,0,0
controller,371,,22000,31000,92000,0,0,0,0,0
waterheater,372,,24000,22000,23000,0,0,0,0,0
passive_controller,373,,27000,27000,22000,0,0,0,0,0
triplex_line,374,tl_C_4_675,28000,20000,23000,0,0,0,0,0
triplex_meter,375,tm_C_4_675,23000,28000,27000,0,0,0,0,0
house,376,house4C_tm_C_4_675,22000,40000,26000,0,0,0,0,0
controller,377,,31000,36000,93000,0,0,0,0,0
waterheater,378,,21000,33000,28000,0,0,0,1000,0
passive_controller,379,,25000,29000,19000,0,0,0,0,0
triplex_line,380,tl_C_5_675,31000,25000,28000,0,0,0,0,0
triplex_meter,381,tm_C_5_675,24000,37000,22000,0,0,0,0,0
house,382,house5C_tm_C_5_675,24000,34000,19000,0,0,0,0,0
controller,383,,18000,33000,78000,0,0,0,0,0
waterheater,384,,30000,31000,26000,0,0,0,0,0
passive_controller,385,,22000,19000,33000,0,0,0,0,0
triplex_line,386,tl_C_6_675,21000,22000,25000,0,0,0,0,0
triplex_meter,387,tm_C_6_675,28000,30000,26000,0,0,0,0,0
house,388,house6C_tm_C_6_675,30000,44000,26000,0,0,0,0,0
controller,389,,28000,43000,93000,0,0,0,0,0
triplex_line,390,tl_C_7_675,23000,20000,31000,0,0,0,0,0
triplex_meter,391,tm_C_7_675,29000,34000,30000,0,0,0,0,0
house,392,house7C_tm_C_7_675,33000,35000,20000,0,0,0,0,0
controller,393,,31000,29000,102000,0,0,0,0,0
waterheater,394,,30000,22000,21000,0,0,0,0,0
passive_controller,395,,25000,20000,22000,0,0,0,0,0
triplex_line,396,tl_C_8_675,19000,33000,32000,0,0,0,0,0
triplex_meter,397,tm_C_8_675,31000,25000,27000,0,0,0,0,0
house,398,house8C_tm_C_8_675,20000,41000,30000,0,0,0,0,0
controller,399,,27000,29000,87000,0,0,0,0,0
transformer,400,CTTF_A_692,27000,24000,21000,0,0,0,0,0
transformer_configuration,401,,0,0,0,0,0,0,0,0
triplex_meter,402,tn_A_692,26000,24000,27000,0,0,0,0,0
triplex_line,403,tl_A_1_692,33000,23000,17000,0,0,0,0,0
triplex_meter,404,tm_A_1_692,25000,26000,30000,0,0,0,0,0
house,405,house1A_tm_A_1_692,26000,38000,27000,0,0,0,0,0
controller,406,,21000,43000,88000,0,0,0,0,0
triplex_line,407,tl_A_2_692,15000,21000,22000,0,0,0,0,0
triplex_meter,408,tm_A_2_692,24000,24000,34000,0,0,0,0,0
house,409,house2A_tm_A_2_692,49000,41000,33000,0,0,0,0,0
controller,410,,32000,32000,81000,0,0,0,0,0
waterheater,411,,22000,22000,22000,0,0,0,1000,0
passive_controller,412,,28000,26000,23000,0,0,0,0,0
triplex_line,413,tl_A_3_692,28000,23000,20000,0,0,0,0,0
triplex_meter,414,tm_A_3_692,26000,16000,21000,0,0,0,0,0
house,415,house3A_tm_A_3_692,30000,32000,28000,0,0,0,0,0
controller,416,,27000,44000,94000,0,0,0,0,0
triplex_line,417,tl_A_4_692,22000,25000,25000,0,0,0,0,0
triplex_meter,418,tm_A_4_692,34000,30000,31000,0,0,0,0,0
house,419,house4A_tm_A_4_692,25000,33000,24000,0,0,0,0,0
controller,420,,17000,30000,90000,0,0,0,0,0
triplex_line,421,tl_A_5_692,31000,26000,12000,0,0,0,0,0
triplex_meter,422,tm_A_5_692,24000,28000,26000,0,0,0,0,0
house,423,house5A_tm_A_5_692,35000,40000,31000,0,0,0,0,0
controller,424,,34000,36000,100000,0,0,0,0,0
waterheater,425,,25000,25000,17000,0,0,0,0,0
passive_controller,426,,26000,22000,25000,0,0,0,0,0
triplex_line,427,tl_A_6_692,24000,21000,30000,0,0,0,0,0
triplex_meter,428,tm_A_6_692,27000,31000,38000,0,0,0,0,0
house,429,house6A_tm_A_6_692,24000,38000,21000,0,0,0,0,0
controller,430,,24000,34000,88000,0,0,0,0,0
waterheater,431,,29000,29000,19000,0,0,0,1000,0
passive_controller,432,,23000,24000,31000,0,0,0,0,0
transformer,433,CTTF_B_692,31000,32000,23000,0,0,0,0,0
transformer_configuration,434,,0,0,0,0,0,0,0,0
triplex_meter,435,tn_B_692,24000,26000,24000,0,0,0,0,0
triplex_line,436,tl_B_1_692,30000,30000,36000,0,0,0,0,0
